,Unnamed: 0,listing_id,id,date,reviewer_id,reviewer_name,comments,langs,room_type,calculated_host_listings_count,is_superhost
20,91,52811,207757,2011-03-23,379370,Gordon,"Excellent accommodation and location. Couldn't be more convenient to the Metro. Clean and as represented. Cristian communicated promptly, and I believe we both improved our use of (Hidden by Airbnb) Translate. Would stay here again in a heartbeat. Bar Liguria, being around the corner, was an added benefit. Thanks Cristian!",en,Entire home/apt,3,No
21,92,52811,877546,2012-01-23,555663,Rasha,"Cristian's apartment was a fantastic spot for myself and 3 female travellers during our stay in Santiago.  It was safe, conveniently located right near the metro as well as good bars/restaurants and had nice decor.  Cristian was easy to contact, accommodating and helpful prior to our visit. ",en,Entire home/apt,3,No
22,93,52811,1069452,2012-04-01,1608237,Melissa,"Brilliant location right on top of Manuel Montt Metro station (no noise from the metro though!), roof top pool is clean and well taken care of. Lider supermarket, pubs, resturants at your front door. The bed is very comfortable, towels, extra sheets are provided, a washing machine is in the apartment, kitchen has wine glasses, knives, forks, pots and pans etc. wifi is quite fast too. Large balcony with goodview. Theonly downside is there is no airconditioning so it can get quite warm in the afternoon evening. Cristian is a good host, replies to email within an hour or so. I wouldn't hesitate to stay again. ",en,Entire home/apt,3,No
23,94,52811,2052452,2012-08-21,2505878,Greg,"This is an amazing apartment, and a great location right in the hart of Providencia. It's literally right by the metro which makes commuting easy, but the apartment is so high up that there is no noise from below. The apartment comes fully furnished, with high-speed internet, kitchenware, tv, with a very spacious balcony and great view. Cristian even provides a complimentary cleaning service on a weekly basis which was really convienent for me. There is also professional, 24/7 security, and the neighborhood is very safe with a lot of great resturants and bars. I loved this apartment and would stay here again if I return to Santiago in the future!",en,Entire home/apt,3,No
24,95,52811,3321367,2013-01-10,4229471,Gisela,"We stayed 9 days at the apartment (from December 31 to 09 January) and the experience was very pleasant. The apartment is exactly as in the pictures, and was clean and tidy. The location is perfect.  Subway station, bars, grocery stores and restaurants are within walking distance.  The balcony is nice and overlooks the ""Santuario del Cerro San Cristóbal."" The fact that the apartment does not have air conditioning can be a negative factor, because in summer the sun is opposite in the late afternoon, making it very hot. But in the early evening, the temperature drops and we sleep with the balcony doors open. Cristian was very attentive during the negotiation and stay.",en,Entire home/apt,3,No
25,96,52811,3972702,2013-04-01,2410722,Mikel,The apartment was clean and as shown in the pictures. Location is very convenient and not noisy at night. Everything was as expected and the pool has real good views over the city. Will recommend that for short/long term stayings.,en,Entire home/apt,3,No
26,98,52811,5759243,2013-07-15,6906976,Elle,"Great apartment, with fantastic views of the city.  Very close to transport links and local amenities. Cristian was very flexible allowing us to enter the apartment early due to our flight times and was also very quick to respond to any requests we had during our stay. Would definitely recommend!",en,Entire home/apt,3,No
27,101,52811,8175284,2013-10-19,2370546,Robin,"The apartment is really well located, a few steps from the metro.
Building is great. Rooftop pool and bbq area have nice view of the city. Cristian was very helpful and after mentioning that a few items were lacking, he had these delivered quickly.

Overall great stay. Recommended
",en,Entire home/apt,3,No
28,103,52811,24207549,2014-12-22,13264469,Alejandro,"Cristian received me as agreed. The department was excellent, clean, and with many advantages (well furnished, cooking-ware, washing machine, etc.). The location was excellent, on top of the Montt Metro station and having many pubs, markets and gyms nearby. The swimming pool also was nice to have.",en,Entire home/apt,3,No
29,107,52811,57068095,2015-12-21,12056506,Bernardo,"This flat was perfect! Everything was spotless and the host was fantastic —  our plane was delayed quite a bit and he was still ready to check us in well into the middle of the night at 1am - thank you, Cristian! Everything in the apartment was tasteful, brand new and functional. The location was extremely convenient with a metro station (Manuel Montt) literally downstairs, a supermarket around the next corner and a handful of nice places to eat close by. 

Being the 21st floor, it had a breathtaking view of the whole city of Santiago, including a glimpse of the Andes on the background and the beautiful Fuente Bicentenario, which has a light show at night (a must-see in person).

The maid came every other day and kept everything in order. The kitchen was equipped for light meals (including oven, blender, toaster, microwave, kettle etc) and an assortment of dishes/glasses. The shower pressure was fantastic, better than at our own house (wife was thrilled for her long hair). The bed was very comfy with quality cotton linen and soft pillows. I also must praise the light-speed internet connection, best wi-fi we’ve ever had on a trip abroad (we’re talking 6MiB/s here). The TV on the bedroom had all-access cable, the perfect companion for a relaxing night after a long day out. 

Overall this was an incredible experience and I would recommend Cristian’s flat for everyone visiting Santiago!",en,Entire home/apt,3,No
30,109,52811,60236929,2016-01-20,24560901,Carlos,"We had a great stay at Christian's beautiful apartment in Providencia! The apartment itself was clean, well furnished and in an excellent location - close to everything! Thanks Christian for being such a lovely host. I would definitely recommend this place to future guests :) ",en,Entire home/apt,3,No
31,111,52811,67659817,2016-03-30,62426636,Olaf,"I am very happy with choosing  Cristián's apartment for my time in Santiago. The apartment was clean and spacious, its kitchen was well equipped, and the view was just great.",en,Entire home/apt,3,No
32,120,52811,117204995,2016-12-05,28465434,Robert,"I will be as objective as possible. The host needs to make an attempt to make the check in easier. No instructions on WIFI, which of the three remote controls does what (had to play a guessing game) and specifics on how the cleaning service works. He was nice enough to let me check in earlier, but eager to charge me $$ for just remaining a few hours after the check out time. The place was obviously not rented on my check out date. Being accommodating and nice about this type of requests
 go a long way when you desire repeat business. I don't believe this was the case. As a frequent Airbnb user, I was disappointed.",en,Entire home/apt,3,No
33,121,52811,123941183,2016-12-31,36172751,Juan Pablo,"Christian's appartment is an excellent spot to stay in Santiago, either for business or fun. Well located, clean and with everything u need for your stay",en,Entire home/apt,3,No
34,123,52811,134668268,2017-02-28,36172751,Juan Pablo,"I spent 1+ year at Christian's appartments. All off then are great for staying in Santiago. Always clean, good cimmunication from the host and flexibility for arrival and departure. Highly recommended!",en,Entire home/apt,3,No
35,124,52811,136230563,2017-03-09,13264469,Alejandro,"It's a top notch department, situated just by the metro station, making it superb in movility and closeness to services. Very comfortable and really suited for a couple + kid.",en,Entire home/apt,3,No
36,127,52811,171765593,2017-07-18,20322058,Guido,perfect location for both business and leisure. you can connect to any other place in Santiago. The apartment is a bit noisy from 6 to 9 PM and from 7 to 10 AM due to traffic. the fact to be at the 21 floor reduces this problem.  highly suggested for business.,en,Entire home/apt,3,No
37,128,52811,183180947,2017-08-16,45516629,Ines,Nice appartment with a very good location,en,Entire home/apt,3,No
38,129,52811,215940847,2017-12-02,121090226,Peter,Really nice place with great WiFi.,en,Entire home/apt,3,No
39,131,52811,252430163,2018-04-10,18355625,Andrew,"Amazing all around! Awesome apartment, beautiful view in an excellent location. To add to that. Christian was very helpful and responsive on any sort of tips and help. I would definitely stay here again!",en,Entire home/apt,3,No
40,141,55884,171459,2011-01-17,329407,Allyn,Apartment was well furnished and clean. The renter was very polite and professional.,en,Entire home/apt,17,Yes
41,143,55884,574648,2011-09-27,388971,Yu-Ki," This flat has its professional quality and we were very happy to stay here. It's close to everywhere, very convenient for the sightseeing.

Raúl is really helpful, we actually left a dryer in the flat but Raúl was kind enough to help us to get it back, thank you!",en,Entire home/apt,17,Yes
42,145,55884,787177,2011-12-15,1431390,Jarrod,"The flat is very clean, comfortable and had everything we needed, it is in a great location for exploring the city, perfect for a visitor to Santiago. Raul was a wonderful host he was extremeley friendly and incredibly helpful, highly reccomend.",en,Entire home/apt,17,Yes
43,146,55884,808468,2011-12-27,1483332,Benson,"Raul was fantastic! The apartment was perfect- centrally located, about 2 blocks from the metro. They have parking, laundry, etc.. and it is exactly like in the pictures. Raul was very gracious = he even came over on Xmas eve with a  bottle of wine! I would stay again any time - it was our first airBNB experience, and was really a pleasure all around. Small tip - there is a toaster in the apt (we only found it the last day!!). ",en,Entire home/apt,17,Yes
44,147,55884,840614,2012-01-06,1164592,Rebecca,"This was a really wonderful flat and a great experience with Raul.  He was most helpful about the area, places to eat, how to access transportation.  In fact he really went out of his way becasue we arrived on January 1 and because it was New Years there was no place open to eat.  He found a place for us and called us to let us know the address and how to get there.  When we arrived he had a bottle of wine waiting which was wonderful for celebrating the New Year.
We recommend him higly.  ",en,Entire home/apt,17,Yes
45,150,55884,1073915,2012-04-02,1917158,Dan,"Raul is very professional, nice and made our stay wonderful.  The apartment is nice, private and in a great location.  Highly recommended,",en,Entire home/apt,17,Yes
46,151,55884,1226200,2012-05-04,850969,Peter,"The flat was cozy but very nice.  The building is well-maintained and the staff was extremely helpful.  The location of the apartment is excellent, it is near all the tourist sites as well as the main market if you like seafood.  The owner was extremely responsive and accommodating.  Highly recommended.",en,Entire home/apt,17,Yes
47,152,55884,2547381,2012-10-08,3685725,Antony,"My wife and I stayed here for 16 days and loved it.  Flat is cozy but very homey and tastefully decorated.  We actually extended our syay because we were enjoying Santiago so much.  Raul was a great host as well...very personable and helpful whenever we had questions.  The location was very close to main tourist attractions, subway and mercado central.",en,Entire home/apt,17,Yes
48,153,55884,2739930,2012-10-28,3197191,Dan,"This apartment is both situated in a great location in the heart of the city, and is very well appointed and furnished. It is by no means spacious, but has a separate bedroom and living area, and a well appointed kitchen. The block it is located in is safe, and spotlessly clean; and contains an easy to use and cheap laundry room, as well as a pool and gym.

However, the most appealing element of this apartment is the manager Raul. He was incredibly helpful regarding our stay in Santiago; giving us great advice, being available for contact throughout the stay, and providing lovely personal touches (toothpaste and toothbrushes in the bathroom, a bottle of wine/juice/water in the kitchen, and maps of the city in living room).

All in all an awesome apartment with an awesome manager - highly recommended.",en,Entire home/apt,17,Yes
49,154,55884,2966006,2012-11-26,3714263,Paul,"SENSATIONAL!!!
We had never used airbnb.com before,and what an introduction!
Raul was not only helpful, but gave us some great tips on places to visit, and restaurants to eat at... He even translated some obscure sentences for us so we could find a few things we had left at home...

The apartment was Fantastic: Really Modern, Very clean, Excellent location (Near a Police station, and within a secure building with Laundry facilities, Security etc) with about a 5min walk to Plaza de Armas, the main square.
If anyone is in need to a cheap place to stay, particularly for couples, then chile4rent is PERFECT, with an extra helpful English speaking Host!",en,Entire home/apt,17,Yes
50,155,55884,3187675,2012-12-30,4161976,Sarah & Jeremy,"Had a great stay over Christmas at this Santiago flat! Raul was very welcoming and helpful, even giving us a welcome bottle of wine and necessities when we arrived. The flat is very clean, comfortable and in a convenient location for exploring the city, close to Plaza de Armas.  Nearby there is a large supermarket and many restaurants. My husband and I arrived after a long bus ride and it was perfect for cooking and relaxing over Christmas. ",en,Entire home/apt,17,Yes
51,156,55884,3290588,2013-01-06,4244670,Marci,"Raul is the most gracious host I've ever met. The flat is perfect and beautiful. In a safe central location to all the best tourist sites, I would highly recommend staying here.Raul made me feel at home with a nice bottle of wine, fruits and provisions for my first day, and even an invitation to see the fireworks on the rooftop for New Years since he knew I was traveling alone. He went out of his way to research restaurants and to give me guidance in a new city. Beautiful apratment, amazing host, you will feel as if you got much more than your money's worth.",en,Entire home/apt,17,Yes
52,157,55884,3496478,2013-02-08,1984940,Karen,"The apartment is very nice and Raul is extremely accomodating. He met us at the apartment and gave us a map of the city and a ton of information on what to see and where to go and how to get there. Everytime we had a question is was there immediately to help us out. The apt. is clean and neat and has great big windows that open onto an inner area so you're not exposed to fumes from the street, but still have great light. The tiny kitchen worked well for our needs--it really had everything you could want, including a free phone for local calls.
I really couldn't think of another thing he could do to make it better. When we cut short our trip to the southern part of Chile and needed a place to stay at the last minute, Raul was right there for us again. All we needed to do was give him a quick email and an hour later we were in the apt. You really couldn't get better service!",en,Entire home/apt,17,Yes
53,160,55884,3872686,2013-03-23,930148,Jorgelina-Johnny,"Always a pleasure staying at one of Raul's apartments! I recommend him 100%!...Raul is an excellent host, making the stay in Santiago much much easier. He is always on time, ready to help and give advise. He is quick to respond to emails and enquires. No headaches checking in. The apartment is clean, and beautiful as shown in the pictures. I'll stay here again!",en,Entire home/apt,17,Yes
54,166,55884,5076468,2013-06-11,1651537,Guilherme,"Well, first of all I would like to stress that Raul is an extremely pleasant and helpful person. I traveled with my girlfriend and asked him for tips on places to go out and meet ... we talked for almost an hour and he helped us a lot!
Regarding the apartment, he needs no comment! It is very nice and comfortable. It is exactly like the photos. Has all the tools a traveler needs. We cook every day and everything we needed was there.
The apartment's location is very good, very close to the main sights of the city and also the subway line.
Just have to thank and certainly when we get back we will be in one of the apartments Raul!


Bem, primeiramente gostaria de frisar que o Raul é uma pessoa extremamente agradável e prestativa. Viajei com minha namorada e e perguntamos a ele por dicas de lugares para sair e conhecer...ficamos conversando por quase uma hora e ele nos ajudou bastante!
Em relação ao apartamento, ele dispensa comentários! É muito agradável e confortável. É exatamente como está nas fotos. Tem todos os utensílios que um viajante precisa. Cozinhamos todos os dias e tudo que precisávamos tinha ali.
A localização do apartamento é muito boa, fica muito próximo aos principais pontos turísticos da cidade e tambem da linha de metrô.
Só temos a agradecer e certamente quando voltarmos ficaremos em um dos apartamentos do Raul!",en,Entire home/apt,17,Yes
55,167,55884,7238234,2013-09-13,671399,Zoya,I loved my stay in Rauls appartment in Santiago.The appartment was very clean and well equipped with most things one (Website hidden by Airbnb) was in a great location in the city close to everything but still in a nice quiet place. Raul was a wonderful host and did everything possible to make my stay easy and comfortable.I would definately stay there again  and highly recommend it to anyone else.,en,Entire home/apt,17,Yes
56,169,55884,8229107,2013-10-21,9203248,Brad,"Apartment was in a great location in the centre of Santiago.
Raul was very helpful. Greeted us when we arrived and even booked a transfer to the airport.",en,Entire home/apt,17,Yes
57,171,55884,8642141,2013-11-10,4591708,Jessica,"I can't say enough good words about Raul!  He was waiting for me when I arrived and helped ensure I could connect the WIFI and had all sorts of maps, menus, etc available for me.  Also, the next day I realized there wasn't an alarm clock and he actually brought me one as well as a little screwdriver to open my new travel alarm clock's back side so I could turn it on.  Raul also helped me book my transit back to the ariport on my day of departure.  It was so comforting knowing how available and helpful Raul was during my stay in Santiago!

Raul's apartment was adorable and in a great location.  The only reason I gave it 4 stars instead of 5 was because I could frequently smell smoke (maybe through the walls?) and there was quite a bit of noise by the other residents.  Noise like kids screaming and running up and down the halls. Not that either of these are Raul's fault, but it did impact the stay a bit.

Highly, highly recommend staying at one of Raul's apartments!",en,Entire home/apt,17,Yes
58,172,55884,9395290,2013-12-26,1359285,André,"Staying in Raul's apartment was the best thing we could have done! He is very considerate and helpful! The apartment is lovely and very well located! If you have the chance stay with Raul!
",en,Entire home/apt,17,Yes
59,174,55884,9685525,2014-01-05,6142783,Sebastiaan,"Reaction requests swift. Apartment is nice, place is also nice for some relaxing. Raul explains things about Santiago on Check-In.",en,Entire home/apt,17,Yes
60,175,55884,10309690,2014-02-12,6166237,Francielly,"Raul was a great host, he provided all information we needed. It was easy to reach him (quick response by email, (Hidden by Airbnb) etc).
The apartment is well located, near to the transportation, services and touristic spots.
The building is safe and the room is exactly as the pictures. 
We do recommend this apartment.
",en,Entire home/apt,17,Yes
61,177,55884,11497991,2014-04-05,7869642,Mariana And Darragh,"Raul deserves all the stars as a host, very attentive in many ways, absolutely great. But we did have a problem with check in after agreeing a certain time and then had to wait around from 6am until three o'clock which wasn't ideal as this was even later than the normal check in time. Everything else was fine though. ",en,Entire home/apt,17,Yes
62,178,55884,13833573,2014-06-05,3807053,Cathryn,"This apartment was in downtown Santiago.  It is a small one bedroom apartment with everything required for a stay in Santiago.  The apartment was clean and well appointed. 
Raul was extremely helpful, he met us on our arrival and showed us around  outlining all the apartments amenities. 
He went through the attractions of Santiago which was very useful and gave us a great map of the city with restaurants, museums and transport information indicated. ",en,Entire home/apt,17,Yes
63,179,55884,14624744,2014-06-23,3227091,Benjamin,Raul went out of his way to make me feel at home and comfortable. Really perfect set-up and perfect location. Highly recommended.,en,Entire home/apt,17,Yes
64,180,55884,14889478,2014-06-28,10879624,Eric,"Raúl's apartment in Santiago was extremely comfortable, clean, and convenient. It was very close to many supermarkets, shops, and the city center. The amenities were wonderful and the apartment had everything we needed for a comfortable stay. My brother and I enjoyed it so much that we decided to extend our stay there. Raúl was extremely helpful, and a very accommodating host. I can't wait to come back and stay at his apartment. ",en,Entire home/apt,17,Yes
65,181,55884,15584858,2014-07-12,3771807,Marcela,"Raúl is the best host! He is very nice and helpful, giving us all the information to have a great time in Santiago. The apartment is beautiful, very clean and close to the subway. I loved it!",en,Entire home/apt,17,Yes
66,182,55884,16177692,2014-07-22,18118158,Sophie,Wonderful stay. Very welcoming.,en,Entire home/apt,17,Yes
67,185,55884,18548165,2014-08-28,17087183,Rebecca,"The apartment was cosy, well equipped and ideal. Access to the laundry room was greatly appreciated. The location of the apartment was central and made manuevering around Santiago a breeze. Raul took the time to explain the surrounding areas and attractions, the metro and even some great 'hidden gem' restaurant recommendations even though it was very late when we arrived. This was greatly appreciated and made the introduction to Santiago much easier. Thanks again for your hospitality and help Raul!",en,Entire home/apt,17,Yes
68,188,55884,24639890,2015-01-01,919104,Emilio,"Raul's apt. was excellent. Clean, functional and centrally located with all the amenities you could possibly need/want. Raul is very informative and helpful. Definitely recommend staying here.  ",en,Entire home/apt,17,Yes
69,191,55884,29327059,2015-04-06,10214177,Claire,"Raul was a fantastic host! Extremely welcoming, helpful, kind, organized and accommodating. Without a doubt, he was there to help make our visit meaningful and worthwhile. We'll definitely be back!",en,Entire home/apt,17,Yes
70,192,55884,30316643,2015-04-20,22266847,Julie,"The apartment is in downtown Santiago, about 10 minutes walk from Plaza de Armas.  Metro is close by, which is good as it is a much longer walk to other attractions. 
The apartment is a little more 'tired' that the pictures show.  It is also quite noisy day and night (people, dogs, car alarms etc).  

That said, Raul was welcoming and friendly, helping us with local Information.   He also dropped in a new plug for the toaster and a cloth to clean the floor as, although swept, it was clearly not mopped.  

I would say the apartment is well priced if you are on a budget.


",en,Entire home/apt,17,Yes
71,195,55884,32841206,2015-05-22,24339501,Beth,"We really liked this apartment. We were welcomed by Raul's sister who was very friendly and informative. The kitchen is very small but for the 4 days we stayed, it was absolutely fine. We had a good sleep every night and the building seems very safe. It is very close to the main square but it's quite a walk to barrio lastarria or bellavista which we didn't mind but if we had stayed out late, we may have had to get a taxi. We tried the sushi takeaway that is on the same block that Raul recommended and it was very nice. Overall, an excellent stay in Santiago.",en,Entire home/apt,17,Yes
72,196,55884,33506994,2015-05-29,28937165,David,This apartment is ver comfortable and clean. The bed is very comfortable too. It's well placed close to the metro and plaza armas. If you want a lovely view and natural light then this place is not for you. ,en,Entire home/apt,17,Yes
73,203,55884,40912254,2015-08-03,20230797,Gabriel,"Great experience, everything was as described.",en,Entire home/apt,17,Yes
74,205,55884,49421526,2015-10-04,17649726,Denise,"Great communication, very prompt and friendly",en,Entire home/apt,17,Yes
75,206,55884,51729340,2015-10-24,43015985,Raphael,"Hola Raul. All good. I love the place, have space, very well located, but the apartament were a little filty, but not too much.  Thank you for everthing. Regards",en,Entire home/apt,17,Yes
76,209,55884,56118326,2015-12-09,45753622,Pedro Senna,"Raúl was a great host, we loved the apt which is exactly as the photos and very well located.
You can visit almost every place at Santiago by walking with no problems and the map of the subway and turistic spost of Raúl is perfect for people who don't know the city.
We recommend him a lot as a host, every doubt we had about the apt or places to go in Santiago he was very responsive to answer through (Hidden by Airbnb) .",en,Entire home/apt,17,Yes
77,210,55884,56852489,2015-12-19,17152208,Vijaya Kumar,"I stayed in the Raul's apartment for 8 days and my stay at the apartment was awesome. It was very comfortable and the location is very close to the downtown and famous places like plazza de aramas. 

Even though my flight arrived early morning at 2 am, Raul accommodated me. He gave instructions with the help of a map which helped me greatly to travel and explore the city. 

Unfortunately, I lost my laptop in the downtown during sightseeing and he even accompanied me to the police station and helped me file a complaint.. He was always reachable on (Hidden by Airbnb) and responded instantly for all my queries.. I highly recommend this apartment if anyone wishes to stay in Santiago. ",en,Entire home/apt,17,Yes
78,215,55884,61331269,2016-02-02,19515882,Jennifer,"Everything about this stay was easy. The apartment is small but is a good size for two people and very pleasant. The location is excellent for central santiago. Raúl was helpful with information before the visit. We were not met by Raúl when we arrived which was a shame and the apartment could be cleaner, although not so much as to put you off staying! If you stay here do note that towels are provided but no toiletries. Also the kitchen is good for breakfast but utensils are limited so maybe don't choose this one if you're keen to cook :) ",en,Entire home/apt,17,Yes
79,218,55884,63542716,2016-02-24,51678852,Lorena,"A great experience for sure! Raúl was very welcoming, the very first day he arrived on time and explained every single place worth visiting, from touristic locations to dining places, and throughout our stay, he was always available through (Hidden by Airbnb) to help out. The apartment was just like you see on the photos! Very nice and clean, has everything you need for a short stay, and the location is perfect since we had to do a lot of paperwork in Santiago. Definitely recommended :)",en,Entire home/apt,17,Yes
80,219,55884,64840699,2016-03-08,27303928,Janina,Raúl is a great host - really friendly and helpfully. He gave us great recommendations for our stay in Santiago. The apartment is small and you have all stuff you need. It is a little bit worn - but just for staying some days there it is all right. :-),en,Entire home/apt,17,Yes
81,220,55884,65492288,2016-03-15,22053734,Jeff,"Raul was the perfect host.  He met us at the appointed time, spoke very good english and was very helpful in navigating Santiago.  Raul made special efforts to help us get back to the airport for our return flights by booking transportation pickup right at the apartment. 
I would highly recommend Raul and any of his places for anybody, especially someone who does not speak Spanish fluently.  
The apartment is in a very good location; within walking distance to many restaurants and shopping areas, as well as the subway and historical buildings.  We walked around at night and found the area safe.  Highly recommended!!!!!",en,Entire home/apt,17,Yes
82,222,55884,66611947,2016-03-23,17234810,Rodrigo,"Raul was one of the most amazing hostess, he appeared on time that he said, give us excellent tips and make an personalized map with the principal turistic points in santiago, the place is small but sufficient space for two people, is very safe, clean, and very well organized, very cozy, very well located, only two blocks from the subway, no doubts is a place to indicate for other people.",en,Entire home/apt,17,Yes
83,224,55884,67844980,2016-03-31,20139585,Claire,"Raul was a brilliant host! He gave us lots of useful information about the area e.g. places to eat, information about the subway, shops, how to get to Valparaiso, vineyards etc. The apartment is located centrally in the downtown area and it's really easy to get around from there - there are subway stops close by and the shopping street is a short walk away. The apartment itself has everything you might need and is clean and tidy. The building is secure with 24 hour concierge service. Raul very kindly booked a taxi for us too as our Spanish wasn't quite up to the task! We had a great time in Santiago and only wish we could have stayed longer!We would recommend staying with Raul in Santiago!",en,Entire home/apt,17,Yes
84,226,55884,69821699,2016-04-13,47761524,Anna,Raul made us feel incredibly welcome and made sure we had all the information we might need to make the most of our time in Santiago. ,en,Entire home/apt,17,Yes
85,227,55884,70206711,2016-04-17,27499704,Rob,"Great location, appartment very comfortable, clean, tidy and safe. Raul very helpful and welcoming. Excellent location for our (all too short) stay in Sandiago.",en,Entire home/apt,17,Yes
86,229,55884,75456485,2016-05-21,66824715,Adam,Raul was a great and helpful host. Excellent location in Central Santiago and great accommodation!! I recommend to anyone visiting Santiago for a short break.,en,Entire home/apt,17,Yes
87,234,55884,81077854,2016-06-20,53895372,Debbie,"My husband & I stayed here for 5 nights. We were met by Raul who was very helpful,spoke good english which we appreciated as a non spanish speaker. Raul was very helpful at giving us a map & details of the surrounding area & highlights of the Santiago area. The apartment was exactly as described, centrally located to everything. Only small negative was the noise (barking dogs in the complex) which became annoying at night time. 
Overall a very enjoyable stay.",en,Entire home/apt,17,Yes
88,247,55884,110175965,2016-10-24,96334721,Valerie,TRÈS DISPONIBLE ET PRÉVENANT ,en,Entire home/apt,17,Yes
89,249,55884,114303867,2016-11-17,103462754,Peter,"Everything was good, the apartment is centrally located and very nice! we would stay here again!",en,Entire home/apt,17,Yes
90,254,55884,123078826,2016-12-27,6642655,Kiran,"Amazing flat, perfect location, very safe with 24-hour security. Raúl was very responsive when we had issues with the lights, even though it was Christmas time! Gave us a map, explained the area and was generally super helpful. Flat was well equipped with the essential items. Would highly recommend! ",en,Entire home/apt,17,Yes
91,257,55884,127571040,2017-01-19,32261412,Oliver,"Perfect location, great value, clean, private! Near: police station, shopping, Starbucks, markets, plaza de armas... We stayed 4 nights here and would definitely stay again anytime! ",en,Entire home/apt,17,Yes
